codigo,entrada/salida,rut,hora,minuto,mes,dia,anho,accion
3,1,48.102.868-8,6,31,8,1,24,OK
4,1,74.175.270-9,6,34,8,1,24,OK
4,1,88.664.630-9,7,4,8,1,24,OK
6,1,11.269.892-5,7,10,8,1,24,OK
6,1,68.683.048-1,7,10,8,1,24,ASIGNAR SALIDA
6,1,97.481.921-7,7,13,8,1,24,OK
4,1,12.107.220-6,7,15,8,1,24,CERRAR ENTRADA
8,1,52.306.405-5,7,15,8,1,24,CERRAR ENTRADA
3,1,74.422.079-1,7,19,8,1,24,ASIGNAR SALIDA
4,1,60.229.125-2,7,19,8,1,24,OK
6,1,14.088.111-8,7,20,8,1,24,OK
3,1,95.848.139-7,7,22,8,1,24,OK
6,1,68.437.369-5,7,23,8,1,24,OK
5,1,90.865.220-6,7,23,8,1,24,OK
6,1,59.463.875-4,7,24,8,1,24,CERRAR ENTRADA
4,1,59.670.410-4,7,25,8,1,24,OK
3,1,17.236.230-3,7,25,8,1,24,OK
4,1,91.858.171-6,7,26,8,1,24,OK
6,1,74.266.075-6,7,27,8,1,24,OK
4,1,84.576.027-3,7,28,8,1,24,OK
8,1,89.536.145-9,7,28,8,1,24,OK
7,1,42.614.318-2,7,29,8,1,24,ASIGNAR SALIDA
6,1,57.460.943-7,7,29,8,1,24,OK
6,1,26.803.063-9,7,30,8,1,24,INVERTIR MARCAJE
6,1,21.509.829-9,7,30,8,1,24,OK
7,1,38.047.327-9,7,31,8,1,24,OK
4,1,65.873.126-3,7,31,8,1,24,CERRAR ENTRADA
7,1,81.388.412-2,7,31,8,1,24,OK
1,1,49.107.383-5,7,31,8,1,24,OK
2,1,83.176.260-2,7,32,8,1,24,OK
6,1,43.782.809-1,7,32,8,1,24,OK
6,1,64.651.540-2,7,33,8,1,24,OK
6,1,45.992.041-2,7,34,8,1,24,OK
6,1,51.950.406-5,7,34,8,1,24,OK
6,1,28.027.244-7,7,35,8,1,24,OK
4,1,48.230.571-6,7,35,8,1,24,OK
4,1,33.770.478-6,7,36,8,1,24,ASIGNAR SALIDA
4,1,91.917.288-9,7,37,8,1,24,OK
2,1,22.048.763-2,7,37,8,1,24,OK
4,1,55.466.478-9,7,38,8,1,24,OK
7,1,25.794.953-5,7,38,8,1,24,OK
1,1,58.050.794-8,7,38,8,1,24,OK
4,1,45.302.440-1,7,38,8,1,24,OK
5,1,54.080.296-1,7,38,8,1,24,OK
5,1,70.088.902-8,7,38,8,1,24,INVERTIR MARCAJE
4,1,12.956.950-7,7,38,8,1,24,INVERTIR MARCAJE
7,1,54.809.012-6,7,39,8,1,24,OK
2,1,50.297.696-1,7,41,8,1,24,ASIGNAR SALIDA
6,1,70.708.534-1,7,41,8,1,24,OK
2,1,75.518.000-9,7,41,8,1,24,OK
3,1,17.618.301-5,7,41,8,1,24,CERRAR ENTRADA
3,1,62.059.701-3,7,42,8,1,24,OK
6,1,10.751.335-6,7,42,8,1,24,OK
3,1,11.802.637-5,7,43,8,1,24,OK
8,1,14.473.325-1,7,43,8,1,24,OK
3,1,88.634.613-6,7,44,8,1,24,OK
6,1,80.051.130-1,7,44,8,1,24,OK
4,1,86.161.494-1,7,45,8,1,24,OK
4,1,42.054.072-6,7,46,8,1,24,ASIGNAR SALIDA
6,1,82.275.284-5,7,47,8,1,24,OK
8,1,27.323.846-3,7,47,8,1,24,CERRAR ENTRADA
4,1,79.219.010-6,7,48,8,1,24,OK
1,1,94.962.822-4,7,48,8,1,24,ASIGNAR SALIDA
6,1,73.487.889-8,7,48,8,1,24,ASIGNAR SALIDA
4,1,69.606.191-9,7,49,8,1,24,OK
4,1,88.659.605-3,7,49,8,1,24,OK
8,1,18.813.741-6,7,49,8,1,24,OK
4,1,15.629.209-9,7,49,8,1,24,OK
4,1,37.004.479-3,7,49,8,1,24,OK
1,1,38.268.682-4,7,49,8,1,24,CERRAR ENTRADA
4,1,71.146.347-7,7,49,8,1,24,OK
6,1,85.847.464-7,7,50,8,1,24,ASIGNAR SALIDA
6,1,27.490.395-7,7,51,8,1,24,OK
7,1,63.974.526-9,7,51,8,1,24,INVERTIR MARCAJE
6,1,40.300.141-2,7,51,8,1,24,CERRAR ENTRADA
4,1,98.852.821-2,7,51,8,1,24,OK
6,1,59.549.113-4,7,51,8,1,24,OK
3,1,46.963.021-8,7,51,8,1,24,OK
2,1,83.496.515-9,7,52,8,1,24,OK
4,1,41.426.514-8,7,52,8,1,24,ASIGNAR SALIDA
7,1,49.251.305-4,7,52,8,1,24,OK
8,1,69.900.049-7,7,53,8,1,24,OK
3,1,97.788.211-3,7,53,8,1,24,OK
3,1,86.033.574-6,7,54,8,1,24,OK
6,1,83.516.047-5,7,54,8,1,24,OK
7,1,46.623.880-8,7,54,8,1,24,OK
6,1,90.520.313-7,7,54,8,1,24,CERRAR ENTRADA
6,1,83.313.792-6,7,54,8,1,24,OK
6,1,50.692.417-5,7,54,8,1,24,OK
6,1,68.875.203-6,7,55,8,1,24,OK
6,1,65.126.915-9,7,55,8,1,24,OK
1,1,88.283.634-3,7,56,8,1,24,OK
6,1,90.792.841-7,7,56,8,1,24,OK
6,1,10.683.486-5,7,57,8,1,24,CERRAR ENTRADA
